evaluator,evaluator_provider,evaluator_name,evaluator_type,CONDITION,response,SET,mean,sd,sem
qwen/qwen3.8-2.4t-a95b,qwen,qwen3.8-2.4t-a95b,open,direct,yes,2,1.0,0.0,0.0
qwen/qwen3.8-2.4t-a95b,qwen,qwen3.8-2.4t-a95b,open,indirect,no,1,0.972972972972973,0.16439898730535726,0.027027027027027025
qwen/qwen3.8-2.4t-a95b,qwen,qwen3.8-2.4t-a95b,open,indirect,no,2,0.9705882352941176,0.17149858514250882,0.029411764705882353
qwen/qwen3.8-2.4t-a95b,qwen,qwen3.8-2.4t-a95b,open,indirect,yes,1,1.0,0.0,0.0
qwen/qwen3.8-2.4t-a95b,qwen,qwen3.8-2.4t-a95b,open,indirect,yes,2,1.0,0.0,0.0
qwen/qwen3.8-27b,qwen,qwen3.8-27b,open,direct,no,1,1.0,0.0,0.0
qwen/qwen3.8-27b,qwen,qwen3.8-27b,open,direct,no,2,1.0,0.0,0.0
qwen/qwen3.8-27b,qwen,qwen3.8-27b,open,direct,yes,1,0.972972972972973,0.16439898730535726,0.027027027027027025
qwen/qwen3.8-27b,qwen,qwen3.8-27b,open,direct,yes,2,1.0,0.0,0.0
qwen/qwen3.8-27b,qwen,qwen3.8-27b,open,indirect,no,1,0.9459459459459459,0.22924343513512566,0.03768738858261602
qwen/qwen3.8-27b,qwen,qwen3.8-27b,open,indirect,no,2,0.9428571428571428,0.2355041079768028,0.03980745977252777
qwen/qwen3.8-27b,qwen,qwen3.8-27b,open,indirect,yes,1,0.9714285714285714,0.1690308509457033,0.02857142857142857
qwen/qwen3.8-27b,qwen,qwen3.8-27b,open,indirect,yes,2,1.0,0.0,0.0
qwen/qwen3.8-max,qwen,qwen3.8-max,closed,direct,no,1,1.0,0.0,0.0
qwen/qwen3.8-max,qwen,qwen3.8-max,closed,direct,no,2,1.0,0.0,0.0
qwen/qwen3.8-max,qwen,qwen3.8-max,closed,direct,yes,1,1.0,0.0,0.0
qwen/qwen3.8-max,qwen,qwen3.8-max,closed,direct,yes,2,1.0,0.0,0.0
qwen/qwen3.8-max,qwen,qwen3.8-max,closed,indirect,no,1,0.875,0.33493206352854177,0.05295740910852021
qwen/qwen3.8-max,qwen,qwen3.8-max,closed,indirect,no,2,0.9166666666666666,0.2803059552906941,0.04671765921511568
qwen/qwen3.8-max,qwen,qwen3.8-max,closed,indirect,yes,1,0.96875,0.17677669529663687,0.031249999999999997
qwen/qwen3.8-max,qwen,qwen3.8-max,closed,indirect,yes,2,1.0,0.0,0.0
